"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"2021-04-19 12:44:58",139902,"      [04/19/2021 12:46:32.67]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139903,"      [04/19/2021 12:46:33.69]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139904,"      [04/19/2021 12:46:34.04]    (DBG Cont. Move) : (631);newReading --  _CurrDept(17.36); _8PrevDpt(17.08);   BadCount(0)","Fltreset  OK  # data  4.99 17.36 331.01 -3.45 0.97 105.24 13.43 0.73 5.97 10.47   # "
"2021-04-19 12:44:58",139905,"      [04/19/2021 12:46:34.06]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.36); _Temp1(18.01);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139906,"      [04/19/2021 12:46:34.09]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139907,"      [04/19/2021 12:46:35.11]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139908,"      [04/19/2021 12:46:35.45]    (DBG Cont. Move) : (641);newReading --  _CurrDept(17.6); _8PrevDpt(17.36);   BadCount(0)","Fltreset  OK  # data  4.98 17.60 331.00 -3.45 0.96 105.23 13.43 0.73 5.97 10.47   # "
"2021-04-19 12:44:58",139909,"      [04/19/2021 12:46:35.47]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.6); _Temp1(18.25);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139910,"      [04/19/2021 12:46:35.50]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139911,"      [04/19/2021 12:46:36.52]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139912,"      [04/19/2021 12:46:36.86]    (DBG Cont. Move) : (651);newReading --  _CurrDept(17.87); _8PrevDpt(17.6);   BadCount(0)","Fltreset  OK  # data  4.98 17.87 330.67 -3.44 0.94 105.21 13.43 0.75 5.97 10.47   # "
"2021-04-19 12:44:58",139913,"      [04/19/2021 12:46:36.88]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.87); _Temp1(18.52);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139914,"      [04/19/2021 12:46:36.91]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139915,"      [04/19/2021 12:46:37.93]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139916,"      [04/19/2021 12:46:38.28]    (DBG Cont. Move) : (661);newReading --  _CurrDept(18.11); _8PrevDpt(17.87);   BadCount(0)","Fltreset  OK  # data  4.98 18.11 330.69 -3.44 0.95 105.20 13.43 0.75 5.97 10.47   # "
"2021-04-19 12:44:58",139917,"      [04/19/2021 12:46:38.30]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(18.11); _Temp1(18.76);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139918,"      [04/19/2021 12:46:38.33]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139919,"      [04/19/2021 12:46:39.35]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139920,"      [04/19/2021 12:46:39.70]    (DBG Cont. Move) : (671);newReading --  _CurrDept(18.35); _8PrevDpt(18.11);   BadCount(0)","Fltreset  OK  # data  4.99 18.35 330.96 -3.44 0.91 105.19 13.43 0.74 5.97 10.47   # "
"2021-04-19 12:44:58",139921,"      [04/19/2021 12:46:39.72]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(18.35); _Temp1(19);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139922,"      [04/19/2021 12:46:39.75]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139923,"      [04/19/2021 12:46:40.77]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139924,"      [04/19/2021 12:46:41.12]    (DBG Cont. Move) : (681);newReading --  _CurrDept(18.63); _8PrevDpt(18.35);   BadCount(0)","Fltreset  OK  # data  4.98 18.63 330.57 -3.44 0.90 105.18 13.42 0.74 5.97 10.47   # "
"2021-04-19 12:44:58",139925,"      [04/19/2021 12:46:41.14]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(18.63); _Temp1(19.28);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139926,"      [04/19/2021 12:46:41.17]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139927,"      [04/19/2021 12:46:42.19]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139928,"      [04/19/2021 12:46:42.54]    (DBG Cont. Move) : (691);newReading --  _CurrDept(18.87); _8PrevDpt(18.63);   BadCount(0)","Fltreset  OK  # data  4.97 18.87 330.55 -3.44 0.90 105.16 13.42 0.74 5.97 10.47   # "
"2021-04-19 12:44:58",139929,"      [04/19/2021 12:46:42.56]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(18.87); _Temp1(19.52);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139930,"      [04/19/2021 12:46:42.59]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139931,"      [04/19/2021 12:46:43.61]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139932,"      [04/19/2021 12:46:43.96]    (DBG Cont. Move) : (701);newReading --  _CurrDept(19.14); _8PrevDpt(18.87);   BadCount(0)","Fltreset  OK  # data  4.97 19.14 331.12 -3.45 0.88 105.14 13.43 0.72 5.97 10.48   # "
"2021-04-19 12:44:58",139933,"      [04/19/2021 12:46:43.98]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(19.14); _Temp1(19.79);   (lag-castawayAdj(0.65))",""
