"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-30 12:44:52",96131,"      [05/30/2020 12:46:22.36]    (DBG Cont. Move) : (591);newReading --  _CurrDept(16.36); _8PrevDpt(16.08);   BadCount(0)","Fltreset  OK  # data  7.67 16.36 332.36 -3.16 0.85 100.88 12.03 0.07 6.05 10.09   # "
"2020-05-30 12:44:52",96132,"      [05/30/2020 12:46:22.38]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.36); _Temp1(17.01);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96133,"      [05/30/2020 12:46:22.41]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96134,"      [05/30/2020 12:46:23.43]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96135,"      [05/30/2020 12:46:23.78]    (DBG Cont. Move) : (601);newReading --  _CurrDept(16.6); _8PrevDpt(16.36);   BadCount(0)","Fltreset  OK  # data  7.65 16.60 332.80 -3.16 0.77 100.79 12.02 0.07 6.05 10.09   # "
"2020-05-30 12:44:52",96136,"      [05/30/2020 12:46:23.80]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.6); _Temp1(17.25);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96137,"      [05/30/2020 12:46:23.83]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96138,"      [05/30/2020 12:46:24.85]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96139,"      [05/30/2020 12:46:25.19]    (DBG Cont. Move) : (611);newReading --  _CurrDept(16.85); _8PrevDpt(16.6);   BadCount(0)","Fltreset  OK  # data  7.67 16.85 332.62 -3.14 0.76 100.70 12.01 0.08 6.05 10.09   # "
"2020-05-30 12:44:52",96140,"      [05/30/2020 12:46:25.21]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.85); _Temp1(17.5);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96141,"      [05/30/2020 12:46:25.24]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96142,"      [05/30/2020 12:46:26.26]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96143,"      [05/30/2020 12:46:26.60]    (DBG Cont. Move) : (621);newReading --  _CurrDept(17.12); _8PrevDpt(16.85);   BadCount(0)","Fltreset  OK  # data  7.62 17.12 332.50 -3.13 0.73 100.61 12.00 0.09 6.05 10.09   # "
"2020-05-30 12:44:52",96144,"      [05/30/2020 12:46:26.61]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.12); _Temp1(17.77);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96145,"      [05/30/2020 12:46:26.65]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96146,"      [05/30/2020 12:46:27.67]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96147,"      [05/30/2020 12:46:28.02]    (DBG Cont. Move) : (631);newReading --  _CurrDept(17.36); _8PrevDpt(17.12);   BadCount(0)","Fltreset  OK  # data  7.63 17.36 332.40 -3.11 0.68 100.52 12.00 0.09 6.05 10.09   # "
"2020-05-30 12:44:52",96148,"      [05/30/2020 12:46:28.04]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.36); _Temp1(18.01);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96149,"      [05/30/2020 12:46:28.07]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96150,"      [05/30/2020 12:46:29.09]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96151,"      [05/30/2020 12:46:29.44]    (DBG Cont. Move) : (641);newReading --  _CurrDept(17.62); _8PrevDpt(17.36);   BadCount(0)","Fltreset  OK  # data  7.64 17.62 332.11 -3.12 0.66 100.41 11.99 0.10 6.05 10.09   # "
"2020-05-30 12:44:52",96152,"      [05/30/2020 12:46:29.46]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.62); _Temp1(18.27);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96153,"      [05/30/2020 12:46:29.49]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96154,"      [05/30/2020 12:46:30.51]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96155,"      [05/30/2020 12:46:30.86]    (DBG Cont. Move) : (651);newReading --  _CurrDept(17.87); _8PrevDpt(17.62);   BadCount(0)","Fltreset  OK  # data  7.56 17.87 332.81 -3.12 0.65 100.30 11.97 0.11 6.05 10.09   # "
"2020-05-30 12:44:52",96156,"      [05/30/2020 12:46:30.88]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.87); _Temp1(18.52);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96157,"      [05/30/2020 12:46:30.91]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96158,"      [05/30/2020 12:46:31.93]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96159,"      [05/30/2020 12:46:32.28]    (DBG Cont. Move) : (661);newReading --  _CurrDept(18.11); _8PrevDpt(17.87);   BadCount(0)","Fltreset  OK  # data  7.44 18.11 333.43 -3.13 0.64 100.18 11.99 0.10 6.05 10.11   # "
